canonical_sku,brand,category_path,title,attribute_tokens,first_available_date
B00YEJYSEM,FOGG,"[""Beauty"",""Bath & Body"",""Deodorants & Antiperspirants"",""Deodorant""]","Fogg Marco No Gas Deodorant for Men, Long-Lasting Perfume Body Spray, 150 ml",led,1 January 2017
B0B7QC7HP1,Linksys,"[""Electronics"",""Computers & Accessories"",""Networking Products"",""Routers""]","Linksys Hydra 6 Mesh WiFi 6 Router - MR20EC-AMZ - Dual-Band WiFi Router - Mesh Routers for Wireless Internet - WiFi Mesh Network System - Wireless Router - Connect 25+ Devices, 2,000 Sq Ft",,"July 26, 2022"
B01EZ9WR34,O2COOL,"[""Home & Kitchen"",""Heating, Cooling & Air Quality"",""Household Fans"",""Table Fans""]","Treva 10-Inch Portable Desktop Air Circulation Battery Fan, 2 Speed, Compact Folding & Tilt Design, with AC Adapter (Graphite)",portable|compact|led,"April 27, 2016"
B07W58LMND,YSAGi,"[""Office Products"",""Office & School Supplies"",""Desk Accessories & Workspace Organizers"",""Desk Pads & Blotters""]","YSAGi Desk Pad, Desk Mat, 31.5"" x 15.7"" Laptop Leather Desk Pad Protector, Large Leather Desk Blotter for Keyboard and Mouse, Waterproof Desk Writing Pad for Office(Calamine Blue+Cobalt Green)",waterproof|leather,"August 24, 2018"
B08N1KL9SM,Furnish my Place,"[""Home & Kitchen"",""Home Décor Products"",""Rugs, Pads & Protectors"",""Area Rugs""]","Furnish my Place Modern Indoor/Outdoor Commercial Solid Color Rug - Teal, 4' x 14', Pet and Kids Friendly Rug. Made in USA, Runner, Area Rugs Great for Kids, Pets, Event, Wedding",,"November 9, 2020"
B085BC7FWM,LOVEHANDLE,"[""Electronics"",""Computers & Accessories"",""Tablet Accessories"",""Bags, Cases & Sleeves"",""Cases""]","LoveHandle Tablet/XL Grip for Most Tablets and Large Smartphones, Black and Honey Comb Elastic Strap Finger Grip with Black Base (LHT-01-BLK-HNYCMB, Pack of 2)",,"February 29, 2020"
B00M2BFZIW,Georgia-Pacific,"[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Drinkware"",""Cups""]","Dixie PerfecTouch 16 oz. Insulated Paper Hot Coffee Cup by GP PRO (Georgia-Pacific), Coffee Haze, 5356CD, 1,000 Count (50 Cups Per Sleeve, 20 Sleeves Per Case)",,"‏  ‎ August 15, 2007"
B09CFVYF22,Clarks,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Sandals"",""Platforms & Wedges""]","Clarks Women's Lexi Carmen Sandal, 4 us",,"December 4, 2013"
B0CT2R7ZMT,ZeroPone,"[""Pet Supplies"",""Cats"",""Litter & Housebreaking"",""Litter Boxes"",""Standard Litter Boxes""]",Enclosed Stainless Steel Cat Litter Box Extra Large 9 Inch High Litter Box for Big Cats Open Cat Litter Box with Litter Mat and Scoop Non-Sticky Anti-Leakage (2 Pack),steel,"February 25, 2024"
B00DQYS93M,Sanuk,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Loafers & Slip-Ons""]",Sanuk Rounder,,"October 31, 2013"
B08J9531QT,Amazon Essentials,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Active"",""Active Pants"",""Sweatpants""]",Amazon Essentials Men's Cargo Fleece Sweatpant,,"April 14, 2021"
B08HYP268Z,Patelai,"[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen Utensils & Gadgets"",""Cooking Utensils"",""Tongs""]",2 Pieces 8.7 Inch Wooden Toaster Tongs With Magnet Magnetic Bamboo Toaster Tongs Wood Toast Tongs Natural Bamboo Kitchen Utensil Accessories for Cooking Bagel Cake Muffin Bread,,"September 14, 2020"
B09WH81WZP,MiYang,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Swimsuits & Cover Ups"",""One-Pieces""]",MiYang Women's Plus Size Printing Padded High Waist Swimdress,,"December 29, 2018"
B0BT7B7P5T,SkinInspired,"[""Beauty"",""Skin Care"",""Face"",""Creams & Moisturisers"",""Serums""]","SkinInspired Retinol (2% vitAlease) Face Serum For Anti Aging/Promotes Cell Turnover for Youthful, Smooth Skin/Serum for Face Glowing For Men & Women/All Skin Types (50ml)",,27 January 2023
B01CS6V0SE,World Traveler,"[""Clothing, Shoes & Jewelry"",""Luggage & Travel Gear"",""Travel Duffels""]","World Traveler 22 Inch Duffle Bag, Pink Trim Zebra, One Size",,
B00D149A44,Valeo,"[""Automotive"",""Replacement Parts"",""Windshield Wipers & Washers"",""Wipers"",""Blades""]","Valeo 574385 (VM330) Silencio X-TRM Wiper Blade Set - 21""/19"" (Pack of 2)",,"September 9, 2015"
B0CCF3XQ57,TENLLEY,"[""Home & Kitchen"",""Bath"",""Bathroom Accessories"",""Bathtub Accessories"",""Bathtub Mats""]","Stone Bath Mat, Natural Diatomaceous Earth Shower Mat, Non-Slip Stone Bath Mats for Bathroom, Ultra-Absorbent, Quick-Drying, Easy to Clean (Dark Grey-no Pattern)",,"July 20, 2023"
B08R8FRW53,Cuby,"[""Pet Supplies"",""Dogs"",""Carriers & Travel Products"",""Slings""]","CUBY Dog and Cat Sling Carrier - Hands Free Reversible Pet Papoose Bag - Soft Pouch and Tote Design - Adjustable - Suitable for Puppy, Small Dogs, and Cats for Outdoor Travel (Grey)",,"December 24, 2020"
B0CB5CB7PK,KANDENT,"[""Tools & Home Improvement"",""Plumbing"",""Faucet Parts"",""Trim & Repair Kits""]","Replacement for Delta Faucet Classic 13 Series Single-Function Shower Valve Trim Kit, Shower Handle, Brushed Nickel Shower Trim Kit T13020-SS (Cartridge and Valve Not Included)",,"July 5, 2023"
B091BXT9C6,LOVEVOOK,"[""Clothing, Shoes & Jewelry"",""Women"",""Handbags & Wallets"",""Totes""]",LOVEVOOK Womens Purses Satchel Handbags Shoulder Hobo Tote Bag Top Handle Crossbody 3pcs Purse Set Stripes Style,,"‏  ‎ March 30, 2021"
B08RYLKT9Y,YiHICO,"[""Tools & Home Improvement"",""Hardware"",""Door Hardware & Locks"",""Sliding Door Hardware""]","YiHICO 42 x 84in Solid MDF Barn Door(Predrilled & Unassembled Door Panels), with Whole 7ft Sliding Door Hardware Kit, 12in Handle Kit and 2 Floor Guides, PVC Waterproof Coating - White - H Frame",waterproof|led,"January 4, 2021"
B088CTW44F,Seagate,"[""Electronics"",""Computers & Accessories"",""Data Storage"",""External Solid State Drives""]","Seagate Ultra Touch SSD 500GB External Solid State Drive Portable - Black USB-C USB 3.0 for PC MAC and Seagate Mobile Touch app for Android, Mylio, Adobe, & 3-Year Rescue Service (STJW500401)",portable|compact,"‎May 18, 2020"
B08N1KG4M7,Furnish my Place,"[""Home & Kitchen"",""Home Décor Products"",""Rugs, Pads & Protectors"",""Area Rugs""]","Furnish My Place Modern Indoor/Outdoor Commercial Solid Color Rug - Beige, 48"" x 96"" Half Round, Pet and Kids Friendly Rug. Made in USA, Area Rugs Great for Kids, Pets, Event, Wedding",,"November 9, 2020"
B09CQB6FZF,FYORR,"[""Beauty"",""Manicure & Pedicure"",""Nails"",""Nail Polish""]",FYORR 15ML Quick Dry Long Lasting Smooth Finish Nail Polish (Red Apple),,2 February 2020
B0CPBK1YGN,KINOWJI,"[""Electronics"",""Car & Vehicle Electronics"",""Vehicle Electronics Accessories"",""Vehicle Audio & Video Installation"",""Amplifier Installation"",""Cooling Fans""]","12V Car Heater,200W Portable Windshield Defogger and Defroster Fast Heating & Cooling Fans with Cigarette Lighter Plug",portable,"December 2, 2023"
B00UBV4PL8,La Flora Organics,"[""Beauty"",""Bath & Body"",""Cleansers"",""Solid Soap Bars""]",La Flora Organics Orange & Cinnamon Refreshing Handmade Soap Bar with Real Cinnamon & Orange -100 gms,led,6 April 2016
B09KC3KT1J,Kissonic,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Coats, Jackets & Vests"",""Vests""]",Kissonic Women's Padded Down Vest Puffer Stand Collar Zip Up Crop Sleeveless Jacket,,"October 26, 2021"
B079TY3V1S,Casio,"[""Clothing, Shoes & Jewelry"",""Men"",""Watches"",""Wrist Watches""]",Casio Men's AE1400WH Sport Watch,led,"March 13, 2018"
B019310290,Top Trumps,"[""Toys & Games"",""Games & Accessories"",""Card Games"",""Dedicated Deck Card Games""]",Skyscrapers Top Trumps Card Game,,
B00C4ZT9EM,Camco,"[""Automotive"",""RV Parts & Accessories"",""Exterior"",""Leveling & Stablilization"",""Levelers""]",Camco Large RV Wheel Stop | Fits 26 to 30-inch Diameter Tires | Tire Spacing from 3 ½ to 5 ½-inches | Yellow (44622),,"October 19, 2005"
B0064U0DYS,Sanita,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Mules & Clogs""]",Sanita Men's Professional Oil Clog,,"March 31, 2011"
B015RWPR30,Whirlpool Parts and Accessories,"[""Appliances"",""Parts & Accessories"",""Dishwasher Parts & Accessories"",""Baskets""]",Whirlpool 8531288 Basket,,"July 30, 2008"
B07TN6YT2P,Anziner,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Novelty Lighting"",""Flameless Candles""]","Battery tealights ,12 Pack Realistic and Bright Flickering Last 200 hours Longer Battery Operated Flameless LED Tea Lights candles for Holiday, Weddings, Birthdays,Halloween,Christmas(Warm Yellow)",led,"October 20, 2019"
B07PPLX2L5,SMARTSTANDARD,"[""Tools & Home Improvement"",""Hardware"",""Door Hardware & Locks"",""Sliding Door Hardware""]","SmartStandard 36in x 84in Sliding Barn Wood Door Pre-Drilled Ready to Assemble, DIY Unfinished Solid Spruce Wood Panelled Slab, Interior Single Door Only, Natural, K-Frame (Fit 6FT-6.6FT Rail)",led,"March 13, 2019"
B0B5DM42BQ,GPATIO,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Outdoor Lighting"",""String Lights""]","GPATIO 120FT Outdoor String Lights, Waterproof Patio Lights with 64 Hanging Lights Globe G40 Bulbs, 2700k Shatterproof for Backyard Outside Decor",waterproof|led,"June 29, 2022"
B08JMD4LMM,adidas,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Athletic"",""Running"",""Trail Running""]",adidas Men's Racer Tr21 Running Shoe,,"August 22, 2018"
B004I5NVFY,Carhartt Sportswear - Mens,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Pants"",""Casual""]",Carhartt Men's Relaxed Fit Twill Utility Work Pant,,"January 24, 2011"
B0BWDZM56Q,Towallmark,"[""Industrial & Scientific"",""Material Handling Products"",""Pulling & Lifting"",""Hoists & Accessories"",""Beam Trolleys""]",Manual Trolley 2200LBS/1 Ton Load Capacity Beam Trolley with Dual Wheels Adjustable Width,led|steel,"February 21, 2023"
B0BTBTQ1XB,Koumyou,"[""Automotive"",""Exterior Accessories"",""Bumper Stickers, Decals & Magnets"",""Decals""]","Hello Kitty, Stop Riding,Pink, Vinyl Decal,Sticker for Cars,Windows,Laptops and More",,"January 29, 2023"
B093BL5Y99,LEM,"[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen Utensils & Gadgets"",""Meat & Poultry Tools"",""Meat Grinders""]",LEM Products Jerky Maker,,"December 9, 2009"
B00WEVLGEW,VersionTECH.,"[""Video Games"",""PC"",""Accessories"",""Gaming Mice""]","VersionTECH. Wired Gaming Mouse, Ergonomic USB Optical Mouse Mice with Chroma RGB Backlit, 1200 to 3600 DPI for Laptop PC Computer Games & Work – White",led,"April 20, 2015"
B09H616MGV,UULMBUJ,"[""Clothing, Shoes & Jewelry"",""Women"",""Handbags & Wallets"",""Satchels""]",Women Kiss Lock Vintage Handbags for Women Oil Leather Evening Clutch Satchel Purse Tote,compact|leather,"September 26, 2021"
B095VPP5YK,Steve Madden,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Sandals"",""Heeled Sandals""]",Steve Madden Women's Gracey Heeled Sandal,led,"January 31, 2021"
B094TJ5FBF,Sony,"[""Musical Instruments"",""Live Sound & Stage"",""PA Systems""]","Sony SRS-XP500 X-Series Wireless Portable-BLUETOOTH-Karaoke Party-Speaker IPX4 Splash-resistant with 20 Hour-Battery,Black",portable|led,"May 24, 2021"
B0B2X3DH8Q,Skechers,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Athletic"",""Running"",""Road Running""]",Skechers Women's Max Cushioning Elite Sneaker,led,"February 19, 2019"
B07DNX2LBX,HOSSIAN,"[""Home & Kitchen"",""Home Décor Products"",""Home Fragrance"",""Reed Diffusers, Oils & Accessories"",""Reed Diffuser Sets""]","HOSSIAN Reed Diffuser Sticks - Reed diffusers-Reed Sticks -Diffuser Glass Bottles-Diffuser Refills- Natural Rattan Wood Replacement for Aroma Fragrance (9""*3mm Primary Color)",,"June 11, 2018"
B08DVVYW3S,Stone Lain,"[""Home & Kitchen"",""Kitchen & Dining"",""Dining & Entertaining"",""Dinnerware & Serveware"",""Dinnerware"",""Dinnerware Sets""]","Stone Lain Porcelain 16 Piece Dinnerware Set, Service for 4, Black and Golden Rim",,"July 29, 2020"
B00V0EY556,BCW,"[""Toys & Games"",""Games & Accessories"",""Game Accessories"",""Game Pieces""]",BCW Supplies Black Double-Sided 9-Pocket Pages Holder (10-Pack),,"March 27, 2015"
B08B1HXYPV,KGORGE,"[""Home & Kitchen"",""Bath"",""Bath Rugs""]","Non Slip Chenille Bath Rugs - Super Soft Water Absorbent Anti-Skidding Fast Dry Thick Plush Kitchen Mats for Bathroom Shower Tub Entryway, Aqua, 20"" W x 32"" L 1 Piece",waterproof,"November 19, 2020"
B00NPA2WEY,All Good Makes Everything Better,"[""Beauty & Personal Care"",""Skin Care"",""Body"",""Moisturizers"",""Oils""]",All Good Organic Coconut Oil Skin Food - Natural Moisturizing Skin Care - Non GMO - Vegan (Coconut),,
B09QM9K9ZR,CaseBuy,"[""Electronics"",""Computers & Accessories"",""Laptop Accessories"",""Bags, Cases & Sleeves"",""Sleeves""]","17 inch Laptop Bag, Water-Resistant Laptop Sleeve Case for HP Envy 17 17t 17z/Pavilion 17/Omen 17, Dell Inspiron 17, Lenovo Ideapad 3, Asus Vivobook 17, Acer Aspire 17.3 Laptops Notebook Bag",waterproof,"January 19, 2022"
B008NMOKIK,SKL Home,"[""Home & Kitchen"",""Bath"",""Towels""]","SKL Home by Saturday Knight Ltd. Pinehaven Bath Towel, Wheat",,
B09X56FJY7,WINGBO,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Ceiling Fans & Accessories"",""Ceiling Fans""]","WINGBO 64 Inch DC Ceiling Fan without Lights, 5 Reversible Carved Solid Wood Blades, 6-Speed Noiseless DC Motor, Ceiling Fan No Light with Remote, Brass Finish with Black Blades, ETL Listed",quiet,"August 12, 2021"
B081R3Z7QM,Armitron Sport,"[""Clothing, Shoes & Jewelry"",""Men"",""Watches"",""Wrist Watches""]","Armitron Sport Unisex Digital Resin Strap Watch, 45/7126",,"November 19, 2019"
B07K7FQGVJ,GBC,"[""Office Products"",""Office Electronics"",""Other Office Equipment"",""Shredders""]","GBC Paper Shredder, Commercial TAA Compliant, Jam Stop, 22 Sheet Capacity, Cross-Cut, 20+ Users, CX22-44 (1758582)",quiet,"January 11, 2010"
B0B5RK55RD,Yulejo,"[""Arts, Crafts & Sewing"",""Beading & Jewelry Making"",""Beads & Bead Assortments""]",Yulejo 180 Piece Christmas Snowman Wooden Bead Winter Wooden Bead Christmas Buffalo Plaid Wood Round Bead Christmas Print Wooden Beads with DIY Twine Scarf Wooden Beads for Crafts (Strip Pattern),,"September 11, 2021"
B01LMP2MG6,GU Energy,"[""Health & Household"",""Diet & Sports Nutrition"",""Endurance & Energy"",""Chews & Gels""]","GU Energy Roctane Ultra Endurance Energy Gel, 24-Count, Cherry Lime",portable,"‏  ‎ November 17, 2009"
B0BD5JCZH3,M-AUTO,"[""Automotive"",""Lights & Lighting Accessories"",""Lighting Assemblies & Accessories"",""Headlight Assemblies, Parts & Accessories"",""Headlight Assemblies""]","M-AUTO Projector L Tube Bar Headlights Compatible with 07-13 Chevy Silverado 1500, 07-14 Silverado 2500 3500 & HD Models, L+R Pair Head Light Lamp Assembly",fitment,"September 5, 2022"
B009W7LW4U,DEMETER,"[""Beauty & Personal Care"",""Fragrance"",""Women's"",""Cologne""]","DEMETER Thunderstorm Roll On Perfume Oil, 0.33 Oz, Long-Lasting",,
B09Y69LVTS,SAYONEYES,"[""Home & Kitchen"",""Storage & Organization"",""Home Storage Hooks"",""Coat Hooks""]","Brushed Gold Coat Rack Wall Mount with 6 Double Hooks for Hanging – 17 Inch Heavy Duty SUS304 Stainless Steel Rustic Coat Hooks – Hat, Clothes, Purse, Towel Wall Hooks – 1 Pack",waterproof|steel,"October 20, 2021"
B087WV6FXB,CIVIVI,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Hand Tools"",""Knives, Parts & Accessories"",""Knives"",""Pocket Knives & Folding Knives""]","CIVIVI Dogma Pocket knife for EDC, Satin D2 Blade, G10 Handle, Liner Lock, Ball Bearings Pivot,Flipper Opening Utility Knife with Reversible Deep Carry Pocket Clip C2005C (Blue)",compact|steel,"April 29, 2020"
B07YNNJGNP,Ambesonne,"[""Home & Kitchen"",""Bedding"",""Kids' Bedding"",""Sheets & Pillowcases"",""Sheet & Pillowcase Sets""]","Ambesonne Western Fitted Sheet & Pillow Sham Set, Wild West Themed Cowboy Hat and Old Ranching Rope on Wooden Display Rodeo Cowboy Style, Decorative Printed 2 Piece Bedding Decor Set, Twinxl, Brown",,"October 3, 2019"
B00KBZQEAE,Hanes Men's Athletic Child Code,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Shirts"",""T-Shirts""]","Hanes Men's Nano Premium Cotton T-Shirt (Pack of 2), Deep Royal, Small",,"July 19, 2014"
B0C73CBMKT,be studied,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Ceiling Lights"",""Track Lighting"",""Heads""]","3-Color Led Track Lighting Heads H Type 10w Track Light Heads Ceiling Spotlight Fixtures White Track Lighting Heads for Accent Task Art, Flicker Free CRI90+ 6 Pack",led,"June 5, 2023"
B0936TTCL4,SWOMOG,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Lingerie, Sleep & Lounge"",""Sleep & Lounge"",""Sets""]",SWOMOG Womens Silk Satin Pajamas Loungewear Two-piece Sleepwear Button-Down Pj Set,,"August 14, 2019"
B079C73NXT,Ergodyne,"[""Tools & Home Improvement"",""Safety & Security"",""Personal Protective Equipment"",""Hand & Arm Protection"",""Lab, Safety & Work Gloves"",""Impact Reducing Gloves""]","Ergodyne ProFlex 900 Impact Protection Work Gloves, Padded Palm, Half-Finger, Medium,Black",,"January 26, 2018"
B08CGC63WH,Merrell,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Athletic"",""Running"",""Trail Running""]",Merrell Men's Trail Glove 6 Sneaker,,"July 6, 2020"
B0B3WVR4VQ,QBLEEV,"[""Pet Supplies"",""Dogs"",""Apparel & Accessories"",""Cold Weather Coats""]","QBLEEV Warm Dog Coat Reflective Dog Jacket, Waterproof Dog Winter Coat Turtleneck Dog Clothes for Cold Weather, Thick Fleece Dog Snowsuit Christmas Dog Vest Pet Apparel for Small Medium Large Dogs L",waterproof,"June 13, 2022"
B07VY2XQ49,Propét,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Fashion Sneakers""]",Propet Womens TravelActiv Avid Slip On Walking Walking Sneakers Shoes - Black,,"August 27, 2019"
B07WC69B2M,Acorn,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Slippers""]",Acorn Womens Mule Ragg Warm Slipper,,"August 5, 2017"
B09WD4QYFM,seceles,"[""Automotive"",""Motorcycle & Powersports"",""Accessories"",""Vehicle Covers""]","Motorcycle Covers Waterproof Outdoor Storage, 300D Oxford Heavy Duty Motorbike Cover, Motorcycle Rain Cover, Motorcycle Weather Cover XXL, Winter Motorcycle Cover (XXL: 90"" * 35"" * 50"")",waterproof,"March 24, 2022"
B08F2Z6RJB,Razer,"[""Video Games"",""PC"",""Accessories"",""Gaming Mice""]",Razer DeathAdder V2 Gaming Mouse: 20K DPI Optical Sensor - Fastest Gaming Mouse Switch - Chroma RGB Lighting - 8 Programmable Buttons - Ergonomic Shape - Halo Infinite Edition,led,"‎October 21, 2021"
B01CDGCQG4,Hunter Fan Company,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Ceiling Fans & Accessories"",""Ceiling Fans""]","Hunter Fan Company 53118 Hunter 48"" Sea Wind Indoor/Outdoor Low Profile Ceiling Fan, Matte Black Finish",quiet,"February 29, 2016"
B09KXCVYQ6,HERCULES,"[""Sports & Outdoors"",""Hunting & Fishing"",""Fishing"",""Fly Fishing"",""Accessories"",""Fly Fishing Leaders & Tippets""]",HERCULES Pre-Tied Loop Fly Fishing Leader 6 Pack with Tapered Leader Wallet,,"April 10, 2022"
B095J8HH5M,Champion,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Active"",""Active Shirts & Tees"",""T-Shirts""]","Champion Men's T-Shirt, Crewneck Cotton Tee,Mid-Weight T-Shirt,Earth Logos (Reg. or Big & Tall)",,"‏  ‎ October 15, 2017"
B06WD8ZDCP,Scarecrow,"[""Clothing, Shoes & Jewelry"",""Costumes & Accessories"",""Women"",""Accessories""]",Scarecrow Classic Custom Fangs,,"‏  ‎ October 2, 2000"
B0892S4L29,Cressi,"[""Sports & Outdoors"",""Sports"",""Water Sports"",""Diving & Snorkeling"",""Diving Suits"",""Wetsuits"",""Shorty Suits""]",Cressi Shorty Men's Wetsuit for Water Activities in Warm Waters- Tortuga 2.5mm Premium Neoprene,,"May 26, 2020"
B08X9FK4RB,Kelty,"[""Sports & Outdoors"",""Outdoor Recreation"",""Camping & Hiking"",""Camping Furniture"",""Chairs""]","Kelty Low-Love Seat Camping Chair - Portable, Folding Chair for Festivals, Camping and Beach Days",portable|steel,"February 23, 2021"
B003C5RKE4,Precision Pet Products,"[""Pet Supplies"",""Dogs"",""Crates, Houses & Pens"",""Crates"",""Basic Crates""]","Precision Pet Products Two Door Provalue Wire Dog Crate, 30 Inch, For Pets 30-50 lbs",,"June 8, 2005"
B0842TJVCW,Propet,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Slippers""]",Propet Womens Colbie Slip On Casual Slippers Casual - Black,,"August 23, 2020"
B09C8K67W6,HANSGO,"[""Home & Kitchen"",""Kitchen & Dining"",""Dining & Entertaining"",""Flatware"",""Servers"",""Honey Dippers""]","HANSGO 20PCS Honeycomb Sticks, 3 Inch Wooden Honey Dipper Mini Honey Dipper Sticks Honey Wand for Honey Jar Dispense Drizzle Honey Wedding Party Favors",,"May 10, 2019"
B07QF66C9Q,S H STOCK HARBOR,"[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen Utensils & Gadgets"",""Bar & Wine Tools"",""Cocktail Shakers""]",Stock Harbor Stainless Steel 30 Ounce (887 Milliliter) Double Wall Cocktail Shaker Vacuum Insulated Tumbler and Shaker Top; Powder Coated Black,steel,"April 3, 2019"
B096VXXDKJ,Glamorise,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Lingerie, Sleep & Lounge"",""Lingerie"",""Bras"",""Everyday Bras""]",Glamorise Women's Plus Size MagicLift Natural Shape Bra Wirefree #1210,,"‏  ‎ June 8, 2021"
B07Q7ZBZ4M,RIKIMARU,"[""Sports & Outdoors"",""Hunting & Fishing"",""Fishing"",""Fishing Line"",""Braided Line""]","RIKIMARU Braided Fishing Line Abrasion Resistant Superline Zero Stretch&Low Memory Extra Thin Diameter 327-1094 Yds, 4-180LB",,"March 29, 2019"
B0B17FS4ZW,POWERTEC,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Tools Replacement Parts""]","POWERTEC 70304 2-1/2” Dust Collection Fittings Network w/Reducer, Blast Gates, Pipes, 90-Degree Elbow Connector, Y-fittings, Mounting Brackets",,"May 13, 2022"
B09ZBM2MLY,SAMSUNG,"[""Electronics"",""Television & Video"",""Accessories"",""TV Mounts, Stands & Turntables"",""TV Wall & Ceiling Mounts""]","SAMSUNG Full Motion Slim TV Wall Mount, Fits 55”- 65” TVs, Minimizes TV-to-Wall Gap, Adjustable Left and Right, Tilt and Swivel, VESA 200x200-300x200, Black (WMN-B05FB/ZA, 2022 Model)",,"May 16, 2022"
B0BK86535M,YSCare,"[""Toys & Games"",""Arts & Crafts"",""Craft Kits"",""Paper Craft""]","YSCare 24 Pack Scratch Arts and Crafts Notebooks, Rainbow Scratch Arts Paper with 24 Wooden Stylus and 4 Drawing Stencils, Christmas DIY Arts and Crafts for Kids Birthday Party Favors Game Gift",portable,"December 28, 2022"
B08QGM47L2,Binami,"[""Clothing, Shoes & Jewelry"",""Women"",""Jewelry"",""Bracelets"",""Strand""]",Binami 2 Pcs Evil Eye 7 Knot Lucky Bracelets Adjustable String Matching Friendship Gift for Women Men,,"December 13, 2020"
B08LNZVH7K,JONATHAN Y,"[""Home & Kitchen"",""Home Décor Products"",""Rugs, Pads & Protectors"",""Area Rugs""]","JONATHAN Y SOR200A-210 Loom Modern Strie' Indoor Area-Rug, Solid & Striped, Transitional, Transitional Easy-Cleaning,Bedroom,Kitchen,Living Room,Non Shedding, Gray/Black, 2 X 10",,"November 1, 2020"
B0BLGNQ2ZG,Zhanmai,"[""Toys & Games"",""Sports & Outdoor Play"",""Pools & Water Toys"",""Pool Toys"",""Swim Rings""]",3 Pcs Inflatable Heart Pool Float 47.3 x 39.4 Inch Swim Heart Shaped Pool Rings for Adults Teens Water Fun Heart Floatie Summer Swimming Tube for Pool Beach Bachelorette Party,,"November 3, 2022"
B09WR6Z67Z,Owin,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Dresses"",""Cocktail""]",OWIN Women's Floral 1950s Vintage Swing Cocktail Party Dress Sleeveless with Pockets,,"July 31, 2017"
B0051UPEMS,Heatshield Products,"[""Automotive"",""Motorcycle & Powersports"",""Parts"",""Exhaust"",""Heat Shields""]","Heatshield Products 175105 Heatshield Armor 1/2"" Thick x 1' Wide x 5' Long Exhaust Pipe Heat Shield",,"August 23, 2010"
B00CEHFC96,Krylon,"[""Tools & Home Improvement"",""Paint, Wall Treatments & Supplies"",""Paint & Primer"",""Spray Paint""]","Krylon K03702000 Fine Stone Textured Finish, Pebble 12 Ounce (Pack of 1)",,"April 17, 2013"
B07BFP4PZ7,KOH KOH,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Dresses"",""Formal""]",KOH KOH Womens Long Sleeveless Bridesmaid Cocktail Evening Maxi Dress,,"March 13, 2018"
B0018AG0RS,Creative Converting,"[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Plates, Bowls & Cutlery"",""Plates""]","Creative Converting Paper Dinner Plates, 8 3/4, 24 Ct Luscious Lavender",,"May 14, 2008"
B07WX7ZFX4,Ambesonne,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Fitted Sheets""]","Ambesonne Fishing Fitted Sheet, Fishing Tackle Bait for Spearing Trapping Catching Aquatic Animals Molluscs Design, Soft Decorative Fabric Bedding All-Round Elastic Pocket, Queen Size, White Yellow",,"August 22, 2019"
B0789XSG38,BOBO BIRD,"[""Clothing, Shoes & Jewelry"",""Men"",""Watches"",""Wrist Watches""]",BOBO BIRD Mens Wooden Watches Luxury Wood Metal Strap Chronograph & Date Display Quartz Watch Versatile Male Timepieces,,"December 15, 2017"
B01L1BYSUO,Steve Madden,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Sandals"",""Heeled Sandals""]",Steve Madden Women's Irenee-0 Heeled Sandal,led,"February 11, 2017"
